번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,부산광역시 사하구청,부산광역시 사하구 하신중앙로17번길_27,부산광역시 사하구 장림동 1143,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.080571,128.961338,2023-02-16
2,부산광역시 사하구청,부산광역시 사하구 장평로135번길_21,부산광역시 사하구 장림동 608-52,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.078774,128.972097,2023-02-16
3,부산광역시 사하구청,부산광역시 사하구 장평로71번길_50,부산광역시 사하구 장림동 566-9,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.070799,128.970949,2023-02-16
4,부산광역시 사하구청,부산광역시 사하구 장평로125번길_125,부산광역시 사하구 장림동 625-23,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.078661,128.96992,2023-02-16
5,부산광역시 사하구청,부산광역시 사하구 다대로257번길 5,부산광역시 사하구 장림동 241-2,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.079671,128.978228,2023-02-16
6,부산광역시 사하구청,부산광역시 사하구 동매로66번길_6,부산광역시 사하구 하단동 381-2,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.102415,128.96543,2023-02-16
7,부산광역시 사하구청,부산광역시 사하구 괴정로 28,부산광역시 사하구 하단동 403-1,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.103176,128.967104,2023-02-16
8,부산광역시 사하구청,부산광역시 사하구 낙동대로457번길_52,부산광역시 사하구 하단동 612,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.104401,128.965928,2023-02-16
9,부산광역시 사하구청,부산광역시 사하구 동매로92번길_21,부산광역시 사하구 하단동 320-11,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.101404,128.968259,2023-02-16
10,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길_8,부산광역시 사하구 하단동 483,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.110336,128.964951,2023-02-16
11,부산광역시 사하구청,부산광역시 사하구 낙동남로1347번길_25,부산광역시 사하구 하단동 884,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.107772,128.959279,2023-02-16
