순번,시도본부,소방서,119안전센터명,주소,전화번호,geometry
1,서울,종로,세종로119안전센터,서울특별시 종로구 율곡로 78(운니동 114-2),02-6981-5740,[126.987649258831 37.5768173425423]
2,서울,종로,신교119안전센터,서울특별시 종로구 자하문로 93 (신교동),02-737-8119,[126.970027499987 37.5842789170648]
3,서울,종로,종로119안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-747-7119,[126.992233420661 37.5712662536965]
4,서울,종로,연건119안전센터,서울특별시 종로구 대학로 91 (연건동),02-747-8119,[127.001835354449 37.5794142791836]
5,서울,종로,신영119안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119,[126.960846444543 37.6057957808925]
6,서울,종로,숭인119안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921,[127.021706560708 37.5777636587545]
7,서울,중부,을지로119안전센터,서울특별시 중구 을지로45길 43(신당동),02-2235-0119,[127.012025690221 37.566728573095]
8,서울,중부,무학119안전센터,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311,[127.015378573704 37.5648664558126]
9,서울,중부,충무로119안전센터,서울특별시 중구 충무로 11(충무로3가),02-2265-0119,[126.992912675198 37.5621562365797]
10,서울,중부,회현119안전센터,서울특별시 중구 소공로 30(회현동2가),02-775-0119,[126.983364600162 37.558208190069]
11,서울,중부,신당119안전센터,서울특별시 중구 다산로8길 2(신당동),02-2238-0698,[127.009640800452 37.5529259688215]
12,서울,광진,구의119안전센터,서울특별시 광진구 광나루로 480 (구의동),02-6981-6768,[127.082778518406 37.5448260218652]
13,서울,광진,능동119안전센터,서울특별시 광진구 능동로 242 (능동),02-6981-6781,[127.076991345349 37.5516759040088]
14,서울,광진,중곡119안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-6981-6791,[127.086643780864 37.5669486795626]
15,서울,용산,한강로119안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-6943-1520,[126.971506544727 37.5341074431998]
16,서울,용산,이태원119안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-6943-1540,[126.995800074175 37.5343733575462]
17,서울,용산,후암119안전센터,서울특별시 용산구 후암로 34 (후암동),02-6943-1550,[126.977888643401 37.548930436814]
18,서울,용산,이촌119안전센터,서울특별시 용산구 이촌로2가길 1 (이촌동),02-6943-1560,[126.953423122186 37.5300531370846]
19,서울,용산,서빙고119안전센터,서울특별시 용산구 서빙고로67길 7 (서빙고동),02-6943-1570,[126.995010003972 37.5208326196955]
20,서울,동대문,장안119안전센터,서울특별시 동대문구 장한로 34 (장안동),02-6942-1350,[127.066724569715 37.5637542523416]
21,서울,동대문,청량리119안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-6942-1360,[127.052316985824 37.5871648475754]
22,서울,동대문,전농119안전센터,서울특별시 동대문구 황물로 3 (전농동),02-6942-1365,[127.046017913495 37.5763087872444]
23,서울,동대문,용두119안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-6942-1370,[127.031745691291 37.5778486922352]
24,서울,동대문,휘경119안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-6942-1375,[127.0651426879 37.5906585512362]
25,서울,영등포,영등포119안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-6981-7150,[126.904188745933 37.5184389128995]
26,서울,영등포,여의도119안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119,[126.927973753551 37.5172246813066]
27,서울,영등포,당산119안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119,[126.899192700249 37.5354973829456]
28,서울,영등포,대림119안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119,[126.904060701993 37.4973134949082]
29,서울,영등포,신길119안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-841-0119,[126.922193363902 37.5104280770526]
30,서울,성북,종암119안전센터,서울특별시 성북구 종암로27길 3 (종암동),02-6981-7351,[127.031747410745 37.6024227162113]
31,서울,성북,돈암119안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-6981-7361,[127.014439292796 37.590987927928]
32,서울,성북,길음119안전센터,서울특별시 성북구 정릉로 321 (길음동),02-6981-7372,[127.01921134912 37.6028203266818]
33,서울,성북,장위119안전센터,서울특별시 성북구 한천로 640 (장위동),02-6981-7383,[127.058227345965 37.6156172519303]
34,서울,은평,진관119안전센터,서울특별시 은평구 통일로 962 (진관동),02-6981-6151,[126.919788062767 37.6287565171839]
35,서울,은평,녹번119안전센터,서울특별시 은평구 은평로 245 (녹번동),02-6981-6171,[126.935146145667 37.6011049837261]
36,서울,은평,역촌119안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-6981-6181,[126.910669577673 37.6049907333044]
