시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202211,8,"8,700",0,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202211~202411,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202211,11,500,47,5,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202212~202412,갱신,사용,500,47.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202211,17,"10,000",0,14,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202212~202412,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202211,18,"8,000",0,15,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202211~202411,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202211,21,"8,800",0,15,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202212~202412,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202211,26,"8,800",0,9,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202212~202412,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,20.76,202211,9,300,55,5,2016.0,사임당로 180,128.866138632816,37.7609537440692,202211~202311,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202211,11,200,45,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,202212~202311,갱신,-,200,45.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202211,3,300,45,7,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202211~202311,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202211,11,300,45,3,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202211~202311,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,전세,21.48,202211,15,"8,000",0,7,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202212~202412,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202211,24,300,45,3,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202212~202311,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202211,29,300,47,4,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202212~202312,신규,-,0,0.0
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,전세,21.42,202211,26,"7,870",0,4,,선수촌로63번길 18-15,128.868370233918,37.757804962224,202212~202412,신규,-,0,0.0
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,월세,21.42,202211,26,300,50,7,,선수촌로63번길 18-15,128.868370233918,37.757804962224,202212~202312,신규,-,0,0.0
강원도 속초시 동명동,466-42,466,42,설악 센트리움,월세,38.01,202211,7,300,40,9,2005.0,중앙로 190,128.593132294909,38.2073553904467,202211~202411,신규,-,0,0.0
강원도 속초시 동명동,466-42,466,42,설악 센트리움,월세,38.01,202211,10,300,35,6,2005.0,중앙로 190,128.593132294909,38.2073553904467,-,-,-,,
강원도 속초시 조양동,1429-1,1429,1,신영 HI-LIFE 오피스텔,월세,22.5,202211,1,300,33,2,1992.0,해오름로 199,128.601069163723,38.1900327188302,202211~202311,신규,-,0,0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202211,18,"5,000",0,9,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,29.25,202211,19,"6,300",0,12,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202212~202412,갱신,-,"6,500",0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,29.25,202211,29,"5,000",0,10,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단구동,998-2,998,2,대승노블오피스텔,전세,26.36,202211,30,"5,000",0,4,2015.0,남원로534번길 54,127.951902364864,37.3282836665497,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,27.36,202211,7,500,50,4,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202211~202311,신규,-,0,0.0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,월세,29.64,202211,19,500,50,5,2016.0,혁신로 61,127.980834888995,37.3233936036259,202211~202311,신규,-,0,0.0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,월세,29.64,202211,30,500,47,7,2016.0,혁신로 61,127.980834888995,37.3233936036259,202212~202312,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202211,2,"8,000",0,17,2016.0,양지로 58,127.984700757702,37.3266167058054,202211~202411,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202211,17,300,40,14,2016.0,양지로 58,127.984700757702,37.3266167058054,202211~202311,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202211,19,300,40,17,2016.0,양지로 58,127.984700757702,37.3266167058054,202211~202311,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202211,26,300,40,13,2016.0,양지로 58,127.984700757702,37.3266167058054,202211~202311,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202211,30,300,40,4,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202312,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202211,30,300,47,7,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202305,신규,-,0,0.0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,28.08,202211,1,"8,000",0,6,2018.0,황금로 34,127.99049077768,37.3270094124264,202211~202411,신규,-,0,0.0
강원도 원주시 우산동,231-3,231,3,(231-3),월세,84.39,202211,11,"1,000",70,3,2018.0,우산초교길 27-5,127.938268706558,37.3670325586672,202211~202411,신규,-,0,0.0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202211,9,300,40,17,2019.0,공지로 453,127.717086533303,37.8738301140102,202211~202311,신규,-,0,0.0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202211,25,300,37,9,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0.0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202211,29,300,40,7,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0.0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,20.19,202211,9,500,42,18,2018.0,공지로 455,127.716582914981,37.8739584999907,202211~202311,신규,-,0,0.0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,20.19,202211,12,300,40,14,2018.0,공지로 455,127.716582914981,37.8739584999907,202211~202311,신규,-,0,0.0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,전세,20.19,202211,22,"7,000",0,6,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202412,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,27.32,202211,9,500,40,8,2022.0,소양로 190,127.725579467494,37.8900685078343,202211~202311,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,전세,27.32,202211,11,"10,000",0,10,2022.0,소양로 190,127.725579467494,37.8900685078343,202211~202411,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,19.9,202211,12,300,50,15,2022.0,소양로 190,127.725579467494,37.8900685078343,202211~202311,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,전세,27.32,202211,12,"11,000",0,4,2022.0,소양로 190,127.725579467494,37.8900685078343,202212~202412,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,19.9,202211,13,"5,000",20,7,2022.0,소양로 190,127.725579467494,37.8900685078343,-,-,-,,
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,전세,39.99,202211,15,"16,000",0,10,2022.0,소양로 190,127.725579467494,37.8900685078343,202212~202412,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,19.26,202211,15,300,50,11,2022.0,소양로 190,127.725579467494,37.8900685078343,202211~202311,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,전세,39.99,202211,15,"17,000",0,19,2022.0,소양로 190,127.725579467494,37.8900685078343,202212~202412,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,27.32,202211,17,300,60,5,2022.0,소양로 190,127.725579467494,37.8900685078343,202211~202311,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,39.99,202211,18,"1,000",75,11,2022.0,소양로 190,127.725579467494,37.8900685078343,202212~202312,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,19.26,202211,19,300,50,20,2022.0,소양로 190,127.725579467494,37.8900685078343,202211~202311,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,19.9,202211,24,300,50,15,2022.0,소양로 190,127.725579467494,37.8900685078343,202212~202312,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,월세,27.32,202211,25,300,60,14,2022.0,소양로 190,127.725579467494,37.8900685078343,202212~202312,신규,-,0,0.0
강원도 춘천시 소양로1가,94-6,94,6,춘천 스마트하우스 오피스텔,전세,27.32,202211,25,"12,000",0,9,2022.0,소양로 190,127.725579467494,37.8900685078343,-,-,-,,
강원도 춘천시 온의동,587-5,587,5,춘천·강남하이엔드,전세,26.99,202211,26,"11,000",0,5,2017.0,춘천로17번길 21,127.719469777138,37.8668044328903,202212~202412,신규,-,0,0.0
강원도 춘천시 온의동,587-5,587,5,춘천·강남하이엔드,월세,22.34,202211,28,500,45,6,2017.0,춘천로17번길 21,127.719469777138,37.8668044328903,202212~202412,신규,-,0,0.0
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,월세,21.38,202211,15,500,45,18,2020.0,남춘로 17,127.729935485245,37.8632184506802,202212~202312,신규,-,0,0.0
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,전세,26.21,202211,18,"12,500",0,12,2020.0,남춘로 17,127.729935485245,37.8632184506802,202211~202411,신규,-,0,0.0
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,전세,21.38,202211,26,"10,000",0,22,2020.0,남춘로 17,127.729935485245,37.8632184506802,202212~202412,신규,-,0,0.0
강원도 춘천시 퇴계동,369-9,369,9,남춘천역 코아루웰라움타워,전세,21.38,202211,26,"8,000",0,4,2020.0,남춘로 17,127.729935485245,37.8632184506802,202302~202402,신규,-,0,0.0
강원도 춘천시 효자동,654-9,654,9,	(654-9)	,월세,46.43,202211,1,500,45,8,2009.0,춘천로 188,127.735269042902,37.8762757021592,202211~202311,신규,-,0,0.0
강원도 춘천시 효자동,654-9,654,9,	(654-9)	,전세,48.75,202211,3,"7,000",0,5,2009.0,춘천로 188,127.735269042902,37.8762757021592,202211~202311,신규,-,0,0.0
경기도 고양덕양구 도내동,951-1,951,1,가림타워 오피스텔,월세,29.99,202211,15,"3,000",70,8,2022.0,권율대로 504,126.869726346518,37.6356955825336,202212~202312,신규,-,0,0.0
경기도 고양덕양구 도내동,951-1,951,1,가림타워 오피스텔,월세,22.35,202211,22,500,60,21,2022.0,권율대로 504,126.869726346518,37.6356955825336,202211~202311,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,27.99,202211,1,"2,000",60,20,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202311,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,28.44,202211,1,"11,000",30,15,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202212~202312,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,1,"12,500",0,13,2022.0,서오릉로 625,126.873012673643,37.6346407784137,-,-,-,,
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,23.87,202211,2,"11,500",0,12,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,2,"13,500",0,7,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,3,"14,000",0,12,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,3,"14,500",0,19,2022.0,서오릉로 625,126.873012673643,37.6346407784137,-,-,-,,
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,21.8,202211,3,"9,000",0,12,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,28.44,202211,3,"15,000",0,20,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,월세,21.8,202211,4,500,60,20,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202311,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,4,"16,400",0,19,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
경기도 고양덕양구 도내동,967,967,0,고양 원흥 ZOOM시티,전세,27.99,202211,4,"12,800",0,14,2022.0,서오릉로 625,126.873012673643,37.6346407784137,202211~202411,신규,-,0,0.0
