연번,전체기관명,도로명주소,geometry
1,경찰청 서울특별시경찰청 서울중부경찰서 을지지구대,서울특별시 중구  을지로 234,[127.003943654119 37.5664734170529]
2,경찰청 서울특별시경찰청 서울중부경찰서 광희지구대,서울특별시 중구  퇴계로 375-1,[127.013376356837 37.5652684538307]
3,경찰청 서울특별시경찰청 서울중부경찰서 약수지구대,"서울특별시 중구  동호로 5길 15, 약수지구대",[127.0123820902 37.5521442775352]
4,경찰청 서울특별시경찰청 서울중부경찰서 신당파출소,"서울특별시 중구  다산로 248 (신당동, 신당파출소)",[127.01638496365 37.5650442671787]
5,경찰청 서울특별시경찰청 서울중부경찰서 장충파출소,서울특별시 중구  동호로 261,[127.004802045236 37.5587633776035]
6,경찰청 서울특별시경찰청 서울중부경찰서 충무파출소,서울특별시 중구  퇴계로 178,[126.991584610597 37.5608773647515]
7,경찰청 서울특별시경찰청 서울중부경찰서 을지로3가파출소,서울특별시 중구 충무로56-1,[126.992848341729 37.5661815238113]
8,경찰청 서울특별시경찰청 서울종로경찰서 종로2가지구대,서울특별시 종로구  종로17길 4 종로2가파출소,[126.988922852655 37.5705022157858]
9,경찰청 서울특별시경찰청 서울종로경찰서 관수파출소,서울특별시 종로구  삼일대로 386,[126.988079109583 37.5689505293286]
10,경찰청 서울특별시경찰청 서울종로경찰서 세검정파출소,서울특별시 종로구  세검정로 226 ,[126.958463372948 37.6000216905431]
11,경찰청 서울특별시경찰청 서울종로경찰서 평창파출소,서울특별시 종로구  평창문화로 46,[126.966627287785 37.6052486740828]
12,경찰청 서울특별시경찰청 서울종로경찰서 삼청파출소,서울특별시 종로구  삼청로 66,[126.981122583707 37.5814096566494]
13,경찰청 서울특별시경찰청 서울종로경찰서 통의파출소,서울특별시 종로구  효자로 9,[126.974006743819 37.576770888086]
14,경찰청 서울특별시경찰청 서울종로경찰서 청운파출소,서울특별시 종로구  자하문로 92-1,[126.970583868348 37.5842278806099]
15,경찰청 서울특별시경찰청 서울종로경찰서 옥인파출소,서울특별시 종로구  자하문로17길 24,[126.96942633294 37.5814734297903]
17,경찰청 서울특별시경찰청 서울종로경찰서 세종로파출소,서울특별시 중구  세종대로 141,[126.976429659029 37.5689472465748]
18,경찰청 서울특별시경찰청 서울종로경찰서 신문로파출소,서울특별시 종로구  경희궁길 6-3,[126.972233913231 37.5707552628269]
19,경찰청 서울특별시경찰청 서울종로경찰서 사직파출소,서울특별시 종로구  사직로9길 1,[126.968853916525 37.5760685772833]
20,경찰청 서울특별시경찰청 서울종로경찰서 청진파출소,서울특별시 종로구  삼봉로 33 청진파출소,[126.979018963996 37.5725887471851]
21,경찰청 서울특별시경찰청 서울남대문경찰서 태평로파출소,서울특별시 중구  다동길 11,[126.979991439354 37.5680079853085]
22,경찰청 서울특별시경찰청 서울남대문경찰서 서울역파출소,서울특별시 중구  통일로 13,[126.971566147912 37.5568085815143]
23,경찰청 서울특별시경찰청 서울남대문경찰서 명동파출소,서울특별시 중구  명동길 30 명동파출소,[126.983968494252 37.5635895671109]
24,경찰청 서울특별시경찰청 서울남대문경찰서 남대문파출소,서울특별시 중구  남대문시장4길 28-16,[126.97639193096 37.5590136645085]
25,경찰청 서울특별시경찰청 서울남대문경찰서 중림파출소,서울특별시 중구  중림로 36,[126.967115615717 37.5578893434364]
26,경찰청 서울특별시경찰청 서울남대문경찰서 회현파출소,서울특별시 중구  퇴계로6길 3-10,[126.978823044459 37.558093937192]
27,경찰청 서울특별시경찰청 서울남대문경찰서 서소문파출소,서울특별시 중구  서소문로 131-1 서소문파출소,[126.975391327651 37.5638008161255]
28,경찰청 서울특별시경찰청 서울서대문경찰서 충정로지구대,서울특별시 서대문구  독립문로 25-1,[126.961109299589 37.5698843736468]
29,경찰청 서울특별시경찰청 서울서대문경찰서 신촌지구대,서울특별시 서대문구  신촌역로 22,[126.943009871743 37.5585525829582]
30,경찰청 서울특별시경찰청 서울서대문경찰서 홍은파출소,서울특별시 서대문구 세검정로1길 112,[126.946423973198 37.5952477134009]
31,경찰청 서울특별시경찰청 서울서대문경찰서 연희파출소,서울특별시 서대문구  연희로25길 73,[126.932849090842 37.5702755077088]
32,경찰청 서울특별시경찰청 서울서대문경찰서 남가좌파출소,서울특별시 서대문구  가재울로4길 51,[126.924038302317 37.5760408583713]
33,경찰청 서울특별시경찰청 서울서대문경찰서 북가좌파출소,서울특별시 서대문구  증가로 244,[126.912877408954 37.582993055067]
34,경찰청 서울특별시경찰청 서울서대문경찰서 홍제파출소,서울특별시 서대문구  통일로 441-1,[126.944553282812 37.5881707286561]
35,경찰청 서울특별시경찰청 서울서대문경찰서 홍은2파출소,서울특별시 서대문구  연희로 298,[126.936211181249 37.5836053290869]
36,경찰청 서울특별시경찰청 서울혜화경찰서 혜화파출소,서울특별시 종로구  창경궁로 279 ,[127.001407548091 37.5861083962149]
37,경찰청 서울특별시경찰청 서울혜화경찰서 대학로파출소,서울특별시 종로구  이화장2길 33,[127.006045329114 37.578611713366]
38,경찰청 서울특별시경찰청 서울혜화경찰서 명륜파출소,서울특별시 종로구  성균관로 78,[126.99759929956 37.5892784329492]
39,경찰청 서울특별시경찰청 서울혜화경찰서 창신파출소,서울특별시 종로구  지봉로13길 20-12,[127.013541968647 37.5784936918859]
40,경찰청 서울특별시경찰청 서울혜화경찰서 동묘파출소,서울특별시 종로구  종로58가길 19 동묘파출소,[127.017117455617 37.5726963187211]
41,경찰청 서울특별시경찰청 서울혜화경찰서 덕산파출소,서울특별시 종로구  창신길 98,[127.010526201078 37.5759851806728]
42,경찰청 서울특별시경찰청 서울혜화경찰서 종로5가파출소,서울특별시 종로구  동호로 407,[127.0016317274 37.5707367126759]
43,경찰청 서울특별시경찰청 서울혜화경찰서 효제파출소,서울특별시 종로구  종로41나길 24-6,[127.004866460652 37.5729430706406]
44,경찰청 서울특별시경찰청 서울용산경찰서 원효지구대,서울특별시 용산구  백범로 329,[126.965012154483 37.5389037956572]
45,경찰청 서울특별시경찰청 서울용산경찰서 용중지구대,"서울특별시 용산구  후암로16나길 17, 용중지구대",[126.978479404326 37.549159039208]
46,경찰청 서울특별시경찰청 서울용산경찰서 이태원파출소,서울특별시 용산구  이태원로 184,[126.994403686332 37.5343115810699]
47,경찰청 서울특별시경찰청 서울용산경찰서 한남파출소,"서울특별시 용산구  대사관로34길 53, 한남파출소",[127.006342547451 37.5310848781248]
48,경찰청 서울특별시경찰청 서울용산경찰서 보광파출소,"서울특별시 용산구  보광로 25-1, 보광파출소",[127.000208837482 37.5265772465655]
49,경찰청 서울특별시경찰청 서울용산경찰서 삼각지파출소,서울특별시 용산구  한강대로198-2,[126.974708440403 37.5361101058592]
50,경찰청 서울특별시경찰청 서울용산경찰서 한강로지구대,서울특별시 용산구  서빙고로67,[126.970412727842 37.5248628078572]
51,경찰청 서울특별시경찰청 서울성북경찰서 돈암지구대,서울특별시 성북구  아리랑로5길 54,[127.012403387654 37.597322581692]
52,경찰청 서울특별시경찰청 서울성북경찰서 안암지구대,서울특별시 성북구  지봉로21길 45,[127.016598379745 37.5867215345551]
53,경찰청 서울특별시경찰청 서울성북경찰서 길음지구대,서울특별시 성북구  삼양로13길 51 길음지구대,[127.019265676419 37.6106064012716]
54,경찰청 서울특별시경찰청 서울성북경찰서 정릉파출소,서울특별시 성북구  솔샘로 111,[127.008602830264 37.6160729681366]
55,경찰청 서울특별시경찰청 서울성북경찰서 정릉2파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,[127.010720369254 37.6045609452845]
56,경찰청 서울특별시경찰청 서울성북경찰서 성북파출소,서울특별시 성북구  성북로 94  성북파출소,[126.998471952841 37.5932727259297]
57,경찰청 서울특별시경찰청 서울동대문경찰서 답십리지구대,서울시 동대문구 사가정로 2길 9,[127.051067616943 37.5712942968163]
58,경찰청 서울특별시경찰청 서울동대문경찰서 용신지구대,서울특별시 동대문구  청계천로549,[127.037208959975 37.5728434233834]
59,경찰청 서울특별시경찰청 서울동대문경찰서 청량리파출소,서울특별시 동대문구 약령시로21길 15,[127.045272425948 37.584106726199]
60,경찰청 서울특별시경찰청 서울동대문경찰서 제기파출소,서울특별시 동대문구 약령시로 17길 59-11,[127.042026415272 37.5855626699461]
61,경찰청 서울특별시경찰청 서울동대문경찰서 전농1파출소,서울특별시 동대문구 서울시립대로 56,[127.047938093483 37.5761294460211]
62,경찰청 서울특별시경찰청 서울동대문경찰서 전농2파출소,서울특별시 동대문구 전농로38다길 21,[127.054229172919 37.5863730931314]
64,경찰청 서울특별시경찰청 서울동대문경찰서 장안2파출소,서울특별시 동대문구  답십리로 69길 100,[127.074403847227 37.5767936401153]
65,경찰청 서울특별시경찰청 서울동대문경찰서 이문지구대,서울특별시 동대문구  한천로 402,[127.068115327653 37.5964838564998]
66,경찰청 서울특별시경찰청 서울동대문경찰서 휘경파출소,서울특별시 동대문구  한천로 266,[127.068023841813 37.5846745156333]
67,경찰청 서울특별시경찰청 서울동대문경찰서 회기파출소,서울특별시 동대문구  회기로18길 2,[127.05184927022 37.5910847312738]
68,경찰청 서울특별시경찰청 서울마포경찰서 서강지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",[126.929311426746 37.5473472146038]
69,경찰청 서울특별시경찰청 서울마포경찰서 공덕지구대,서울특별시 마포구 마포대로 195-1,[126.954039818166 37.5518094602317]
70,경찰청 서울특별시경찰청 서울마포경찰서 월드컵지구대,서울특별시 마포구  월드컵북로 30길 24,[126.909082347349 37.5687316891162]
71,경찰청 서울특별시경찰청 서울마포경찰서 홍익지구대,서울특별시 마포구  양화로11길 63,[126.913462507314 37.5518763429182]
72,경찰청 서울특별시경찰청 서울마포경찰서 용강지구대,서울특별시 마포구 토정로31길 35,[126.943083375629 37.5425613405773]
73,경찰청 서울특별시경찰청 서울마포경찰서 상암파출소,서울특별시 마포구  매봉산로 76,[126.893844619605 37.5782806848788]
74,경찰청 서울특별시경찰청 서울마포경찰서 망원파출소,서울특별시 마포구  망원로2길 63,[126.902733477039 37.554339428821]
