"행정구역","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율"
"서울특별시  (1100000000)","9,422,710","4,465,391","          2.11","4,563,512","4,859,198","          0.94"
"서울특별시 종로구 (1111000000)","140,891","72,644","          1.94","68,079","72,812","          0.93"
"서울특별시 중구 (1114000000)","121,250","64,081","          1.89","58,806","62,444","          0.94"
"서울특별시 용산구 (1117000000)","217,611","109,712","          1.98","104,580","113,031","          0.93"
"서울특별시 성동구 (1120000000)","279,980","133,503","          2.10","136,059","143,921","          0.95"
"서울특별시 광진구 (1121500000)","336,558","169,725","          1.98","162,071","174,487","          0.93"
"서울특별시 동대문구 (1123000000)","337,692","171,288","          1.97","165,936","171,756","          0.97"
"서울특별시 중랑구 (1126000000)","384,867","187,977","          2.05","189,099","195,768","          0.97"
"서울특별시 성북구 (1129000000)","429,751","197,801","          2.17","206,367","223,384","          0.92"
"서울특별시 강북구 (1130500000)","292,383","144,559","          2.02","141,837","150,546","          0.94"
"서울특별시 도봉구 (1132000000)","310,023","138,314","          2.24","150,535","159,488","          0.94"
"서울특별시 노원구 (1135000000)","501,838","218,262","          2.30","241,168","260,670","          0.93"
"서울특별시 은평구 (1138000000)","464,217","213,907","          2.17","220,904","243,313","          0.91"
"서울특별시 서대문구 (1141000000)","308,338","147,183","          2.09","146,684","161,654","          0.91"
"서울특별시 마포구 (1144000000)","365,287","180,976","          2.02","171,058","194,229","          0.88"
"서울특별시 양천구 (1147000000)","438,848","181,057","          2.42","214,455","224,393","          0.96"
"서울특별시 강서구 (1150000000)","567,883","274,428","          2.07","272,404","295,479","          0.92"
"서울특별시 구로구 (1153000000)","395,099","184,388","          2.14","193,938","201,161","          0.96"
"서울특별시 금천구 (1154500000)","229,328","120,274","          1.91","115,578","113,750","          1.02"
"서울특별시 영등포구 (1156000000)","376,423","190,393","          1.98","184,827","191,596","          0.96"
"서울특별시 동작구 (1159000000)","380,385","186,730","          2.04","184,072","196,313","          0.94"
"서울특별시 관악구 (1162000000)","487,641","286,127","          1.70","245,231","242,410","          1.01"
"서울특별시 서초구 (1165000000)","404,539","168,238","          2.40","192,932","211,607","          0.91"
"서울특별시 강남구 (1168000000)","534,646","235,708","          2.27","255,637","279,009","          0.92"
"서울특별시 송파구 (1171000000)","657,665","285,493","          2.30","316,356","341,309","          0.93"
"서울특별시 강동구 (1174000000)","459,567","202,623","          2.27","224,899","234,668","          0.96"
"부산광역시  (2600000000)","3,311,402","1,561,666","          2.12","1,615,593","1,695,809","          0.95"
"부산광역시 중구 (2611000000)","39,478","24,061","          1.64","19,111","20,367","          0.94"
"부산광역시 서구 (2614000000)","104,738","53,640","          1.95","50,446","54,292","          0.93"
"부산광역시 동구 (2617000000)","85,629","46,162","          1.85","41,781","43,848","          0.95"
"부산광역시 영도구 (2620000000)","107,454","54,299","          1.98","52,869","54,585","          0.97"
"부산광역시 부산진구 (2623000000)","357,615","179,949","          1.99","171,805","185,810","          0.92"
"부산광역시 동래구 (2626000000)","273,034","119,980","          2.28","132,038","140,996","          0.94"
"부산광역시 남구 (2629000000)","256,257","118,556","          2.16","124,998","131,259","          0.95"
"부산광역시 북구 (2632000000)","277,390","123,532","          2.25","136,470","140,920","          0.97"
"부산광역시 해운대구 (2635000000)","384,335","170,185","          2.26","184,285","200,050","          0.92"
"부산광역시 사하구 (2638000000)","301,709","141,450","          2.13","149,798","151,911","          0.99"
"부산광역시 금정구 (2641000000)","219,484","106,821","          2.05","107,157","112,327","          0.95"
"부산광역시 강서구 (2644000000)","142,983","62,443","          2.29","74,108","68,875","          1.08"
"부산광역시 연제구 (2647000000)","203,081","93,724","          2.17","97,308","105,773","          0.92"
"부산광역시 수영구 (2650000000)","175,426","88,084","          1.99","82,339","93,087","          0.88"
"부산광역시 사상구 (2653000000)","203,418","99,293","          2.05","102,236","101,182","          1.01"
"부산광역시 기장군 (2671000000)","179,371","79,487","          2.26","88,844","90,527","          0.98"
"대구광역시  (2700000000)","2,357,881","1,074,370","          2.19","1,159,042","1,198,839","          0.97"
"대구광역시 중구 (2711000000)","83,438","42,325","          1.97","39,982","43,456","          0.92"
"대구광역시 동구 (2714000000)","338,820","159,865","          2.12","166,217","172,603","          0.96"
"대구광역시 서구 (2717000000)","158,907","81,175","          1.96","79,057","79,850","          0.99"
"대구광역시 남구 (2720000000)","141,640","76,715","          1.85","67,704","73,936","          0.92"
"대구광역시 북구 (2723000000)","427,120","192,193","          2.22","212,133","214,987","          0.99"
"대구광역시 수성구 (2726000000)","409,419","171,471","          2.39","197,507","211,912","          0.93"
"대구광역시 달서구 (2729000000)","535,656","236,971","          2.26","263,040","272,616","          0.96"
"대구광역시 달성군 (2771000000)","262,881","113,655","          2.31","133,402","129,479","          1.03"
"인천광역시  (2800000000)","2,976,338","1,333,148","          2.23","1,489,277","1,487,061","          1.00"
"인천광역시 중구 (2811000000)","155,310","77,145","          2.01","80,416","74,894","          1.07"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","59,636","27,970","          2.13","29,980","29,656","          1.01"
"인천광역시 미추홀구 (2817700000)","404,852","195,178","          2.07","203,685","201,167","          1.01"
"인천광역시 연수구 (2818500000)","388,606","158,147","          2.46","192,725","195,881","          0.98"
"인천광역시 남동구 (2820000000)","501,481","226,289","          2.22","249,152","252,329","          0.99"
"인천광역시 부평구 (2823700000)","490,063","219,660","          2.23","241,598","248,465","          0.97"
"인천광역시 계양구 (2824500000)","285,774","126,685","          2.26","142,313","143,461","          0.99"
"인천광역시 서구 (2826000000)","600,578","254,490","          2.36","302,876","297,702","          1.02"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,550","35,142","          1.98","34,836","34,714","          1.00"
"인천광역시 옹진군 (2872000000)","20,488","12,442","          1.65","11,696","8,792","          1.33"
"광주광역시  (2900000000)","1,426,625","654,192","          2.18","704,974","721,651","          0.98"
"광주광역시 동구 (2911000000)","106,443","54,667","          1.95","52,470","53,973","          0.97"
"광주광역시 서구 (2914000000)","286,574","134,000","          2.14","140,253","146,321","          0.96"
"광주광역시 남구 (2915500000)","211,329","95,717","          2.21","101,391","109,938","          0.92"
"광주광역시 북구 (2917000000)","423,338","198,611","          2.13","209,591","213,747","          0.98"
"광주광역시 광산구 (2920000000)","398,941","171,197","          2.33","201,269","197,672","          1.02"
"대전광역시  (3000000000)","1,445,214","677,706","          2.13","720,934","724,280","          1.00"
"대전광역시 동구 (3011000000)","219,272","109,062","          2.01","110,471","108,801","          1.02"
"대전광역시 중구 (3014000000)","225,688","107,543","          2.10","110,900","114,788","          0.97"
"대전광역시 서구 (3017000000)","468,561","217,490","          2.15","230,018","238,543","          0.96"
"대전광역시 유성구 (3020000000)","360,321","163,362","          2.21","182,370","177,951","          1.02"
"대전광역시 대덕구 (3023000000)","171,372","80,249","          2.14","87,175","84,197","          1.04"
"울산광역시  (3100000000)","1,107,134","487,447","          2.27","568,824","538,310","          1.06"
"울산광역시 중구 (3111000000)","206,815","92,883","          2.23","104,574","102,241","          1.02"
"울산광역시 남구 (3114000000)","309,680","139,903","          2.21","157,992","151,688","          1.04"
"울산광역시 동구 (3117000000)","150,850","66,334","          2.27","78,697","72,153","          1.09"
"울산광역시 북구 (3120000000)","218,758","87,844","          2.49","113,167","105,591","          1.07"
"울산광역시 울주군 (3171000000)","221,031","100,483","          2.20","114,394","106,637","          1.07"
"세종특별자치시  (3600000000)","385,825","160,474","          2.40","192,316","193,509","          0.99"
"세종특별자치시  (3611000000)","385,825","160,474","          2.40","192,316","193,509","          0.99"
"경기도  (4100000000)","13,607,919","5,942,067","          2.29","6,847,848","6,760,071","          1.01"
"경기도 수원시 (4111000000)","1,191,821","531,034","          2.24","600,021","591,800","          1.01"
"경기도 수원시 장안구 (4111100000)","269,189","118,635","          2.27","135,398","133,791","          1.01"
"경기도 수원시 권선구 (4111300000)","367,324","161,993","          2.27","185,585","181,739","          1.02"
"경기도 수원시 팔달구 (4111500000)","193,392","96,592","          2.00","97,384","96,008","          1.01"
"경기도 수원시 영통구 (4111700000)","361,916","153,814","          2.35","181,654","180,262","          1.01"
"경기도 성남시 (4113000000)","923,344","409,447","          2.26","457,190","466,154","          0.98"
"경기도 성남시 수정구 (4113100000)","230,244","113,471","          2.03","116,792","113,452","          1.03"
"경기도 성남시 중원구 (4113300000)","214,304","101,879","          2.10","108,292","106,012","          1.02"
"경기도 성남시 분당구 (4113500000)","478,796","194,097","          2.47","232,106","246,690","          0.94"
"경기도 의정부시 (4115000000)","462,374","208,358","          2.22","227,301","235,073","          0.97"
"경기도 안양시 (4117000000)","546,781","227,481","          2.40","270,160","276,621","          0.98"
"경기도 안양시 만안구 (4117100000)","233,685","102,560","          2.28","116,717","116,968","          1.00"
"경기도 안양시 동안구 (4117300000)","313,096","124,921","          2.51","153,443","159,653","          0.96"
"경기도 부천시 (4119000000)","788,179","345,532","          2.28","389,997","398,182","          0.98"
"경기도 광명시 (4121000000)","283,849","116,567","          2.44","139,523","144,326","          0.97"
"경기도 평택시 (4122000000)","584,126","275,151","          2.12","306,543","277,583","          1.10"
"경기도 송탄출장소 (4122200000)","0","0","          0.00","0","0","          0.00"
"경기도 안중출장소 (4122400000)","0","0","          0.00","0","0","          0.00"
"경기도 동두천시 (4125000000)","90,460","43,744","          2.07","45,117","45,343","          1.00"
"경기도 안산시 (4127000000)","637,480","290,762","          2.19","326,747","310,733","          1.05"
"경기도 안산시 상록구 (4127100000)","341,263","155,328","          2.20","174,089","167,174","          1.04"
"경기도 안산시 단원구 (4127300000)","296,217","135,434","          2.19","152,658","143,559","          1.06"
"경기도 고양시 (4128000000)","1,078,025","463,720","          2.32","526,192","551,833","          0.95"
"경기도 고양시 덕양구 (4128100000)","495,916","219,596","          2.26","243,932","251,984","          0.97"
"경기도 고양시 일산동구 (4128500000)","293,429","128,074","          2.29","142,368","151,061","          0.94"
"경기도 고양시 일산서구 (4128700000)","288,680","116,050","          2.49","139,892","148,788","          0.94"
"경기도 과천시 (4129000000)","78,929","28,952","          2.73","38,755","40,174","          0.96"
"경기도 구리시 (4131000000)","188,671","80,678","          2.34","93,379","95,292","          0.98"
"경기도 남양주시 (4136000000)","735,521","304,523","          2.42","365,250","370,271","          0.99"
"경기도 풍양출장소 (4136200000)","0","0","          0.00","0","0","          0.00"
"경기도 오산시 (4137000000)","229,121","103,728","          2.21","119,352","109,769","          1.09"
"경기도 시흥시 (4139000000)","518,072","226,779","          2.28","270,537","247,535","          1.09"
"경기도 군포시 (4141000000)","264,857","113,767","          2.33","131,406","133,451","          0.98"
"경기도 의왕시 (4143000000)","158,882","64,255","          2.47","78,785","80,097","          0.98"
"경기도 하남시 (4145000000)","326,913","140,725","          2.32","163,015","163,898","          0.99"
"경기도 용인시 (4146000000)","1,074,744","433,232","          2.48","533,308","541,436","          0.98"
"경기도 용인시 처인구 (4146100000)","260,187","116,460","          2.23","133,742","126,445","          1.06"
"경기도 용인시 기흥구 (4146300000)","436,636","174,195","          2.51","215,384","221,252","          0.97"
"경기도 용인시 수지구 (4146500000)","377,921","142,577","          2.65","184,182","193,739","          0.95"
"경기도 파주시 (4148000000)","496,870","219,634","          2.26","252,022","244,848","          1.03"
"경기도 이천시 (4150000000)","222,348","103,063","          2.16","115,806","106,542","          1.09"
"경기도 안성시 (4155000000)","188,637","90,305","          2.09","97,607","91,030","          1.07"
"경기도 김포시 (4157000000)","484,474","202,985","          2.39","242,029","242,445","          1.00"
"경기도 화성시 (4159000000)","925,186","395,031","          2.34","480,653","444,533","          1.08"
"경기도 화성시동부출장소 (4159200000)","0","0","          0.00","0","0","          0.00"
"경기도 화성시동탄출장소 (4159400000)","0","0","          0.00","0","0","          0.00"
"경기도 광주시 (4161000000)","390,863","170,331","          2.29","199,369","191,494","          1.04"
"경기도 양주시 (4163000000)","252,218","110,460","          2.28","127,440","124,778","          1.02"
"경기도 포천시 (4165000000)","145,373","73,275","          1.98","77,027","68,346","          1.13"
"경기도 여주시 (4167000000)","113,375","54,349","          2.09","57,693","55,682","          1.04"
"경기도 연천군 (4180000000)","41,744","21,811","          1.91","21,929","19,815","          1.11"
"경기도 가평군 (4182000000)","61,915","32,115","          1.93","31,961","29,954","          1.07"
"경기도 양평군 (4183000000)","122,767","60,273","          2.04","61,734","61,033","          1.01"
"강원도  (4200000000)","1,533,356","758,699","          2.02","771,382","761,974","          1.01"
"강원도 춘천시 (4211000000)","286,743","134,738","          2.13","141,519","145,224","          0.97"
"강원도 원주시 (4213000000)","360,974","169,837","          2.13","178,935","182,039","          0.98"
"강원도 강릉시 (4215000000)","210,630","103,727","          2.03","104,403","106,227","          0.98"
"강원도 동해시 (4217000000)","89,150","43,303","          2.06","45,303","43,847","          1.03"
"강원도 태백시 (4219000000)","39,006","20,228","          1.93","19,650","19,356","          1.02"
"강원도 속초시 (4221000000)","82,499","41,253","          2.00","40,867","41,632","          0.98"
"강원도 삼척시 (4223000000)","63,444","34,090","          1.86","32,193","31,251","          1.03"
"강원도 홍천군 (4272000000)","67,661","34,573","          1.96","34,824","32,837","          1.06"
"강원도 횡성군 (4273000000)","46,647","23,937","          1.95","23,896","22,751","          1.05"
"강원도 영월군 (4275000000)","37,641","21,354","          1.76","19,491","18,150","          1.07"
"강원도 평창군 (4276000000)","40,729","21,869","          1.86","21,064","19,665","          1.07"
"강원도 정선군 (4277000000)","34,715","19,505","          1.78","18,136","16,579","          1.09"
"강원도 철원군 (4278000000)","41,913","20,592","          2.04","21,716","20,197","          1.08"
"강원도 화천군 (4279000000)","23,133","12,017","          1.93","12,400","10,733","          1.16"
"강원도 양구군 (4280000000)","21,348","10,651","          2.00","11,218","10,130","          1.11"
"강원도 인제군 (4281000000)","32,097","16,723","          1.92","17,481","14,616","          1.20"
"강원도 고성군 (4282000000)","27,157","15,282","          1.78","14,003","13,154","          1.06"
"강원도 양양군 (4283000000)","27,869","15,020","          1.86","14,283","13,586","          1.05"
"충청북도  (4300000000)","1,594,109","776,038","          2.05","810,806","783,303","          1.04"
"충청북도 청주시 (4311000000)","849,887","395,666","          2.15","429,500","420,387","          1.02"
"충청북도 청주시 상당구 (4311100000)","197,775","88,188","          2.24","98,278","99,497","          0.99"
"충청북도 청주시 서원구 (4311200000)","189,070","89,672","          2.11","94,272","94,798","          0.99"
"충청북도 청주시 흥덕구 (4311300000)","270,005","126,836","          2.13","137,361","132,644","          1.04"
"충청북도 청주시 청원구 (4311400000)","193,037","90,970","          2.12","99,589","93,448","          1.07"
"충청북도 충주시 (4313000000)","207,993","101,482","          2.05","105,422","102,571","          1.03"
"충청북도 제천시 (4315000000)","131,459","66,545","          1.98","66,103","65,356","          1.01"
"충청북도 보은군 (4372000000)","31,375","16,954","          1.85","15,849","15,526","          1.02"
"충청북도 옥천군 (4373000000)","49,292","25,459","          1.94","24,883","24,409","          1.02"
"충청북도 영동군 (4374000000)","44,684","23,864","          1.87","22,374","22,310","          1.00"
"충청북도 증평군 (4374500000)","37,331","18,731","          1.99","19,448","17,883","          1.09"
"충청북도 진천군 (4375000000)","85,802","42,399","          2.02","45,378","40,424","          1.12"
"충청북도 괴산군 (4376000000)","36,779","21,285","          1.73","18,957","17,822","          1.06"
"충청북도 음성군 (4377000000)","91,822","48,516","          1.89","48,797","43,025","          1.13"
"충청북도 단양군 (4380000000)","27,685","15,137","          1.83","14,095","13,590","          1.04"
"충청남도  (4400000000)","2,125,333","1,026,355","          2.07","1,088,126","1,037,207","          1.05"
"충청남도 천안시 (4413000000)","657,984","305,274","          2.16","336,952","321,032","          1.05"
"충청남도 천안시 동남구 (4413100000)","257,777","120,881","          2.13","130,626","127,151","          1.03"
"충청남도 천안시 서북구 (4413300000)","400,207","184,393","          2.17","206,326","193,881","          1.06"
"충청남도 공주시 (4415000000)","102,747","52,965","          1.94","51,289","51,458","          1.00"
"충청남도 보령시 (4418000000)","96,764","49,906","          1.94","49,031","47,733","          1.03"
"충청남도 아산시 (4420000000)","336,871","153,966","          2.19","175,601","161,270","          1.09"
"충청남도 서산시 (4421000000)","176,110","82,936","          2.12","91,982","84,128","          1.09"
"충청남도 논산시 (4423000000)","111,822","58,069","          1.93","55,878","55,944","          1.00"
"충청남도 계룡시 (4425000000)","45,256","18,555","          2.44","22,510","22,746","          0.99"
"충청남도 당진시 (4427000000)","168,846","81,831","          2.06","90,026","78,820","          1.14"
"충청남도 금산군 (4471000000)","50,333","26,430","          1.90","25,403","24,930","          1.02"
"충청남도 부여군 (4476000000)","61,903","32,863","          1.88","30,789","31,114","          0.99"
"충청남도 서천군 (4477000000)","49,730","26,661","          1.87","24,571","25,159","          0.98"
"충청남도 청양군 (4479000000)","30,288","16,721","          1.81","15,448","14,840","          1.04"
"충청남도 홍성군 (4480000000)","96,961","46,754","          2.07","48,331","48,630","          0.99"
"충청남도 예산군 (4481000000)","78,689","40,227","          1.96","39,459","39,230","          1.01"
"충청남도 태안군 (4482500000)","61,029","33,197","          1.84","30,856","30,173","          1.02"
"전라북도  (4500000000)","1,764,181","859,599","          2.05","877,966","886,215","          0.99"
"전라북도 전주시 (4511000000)","647,306","296,420","          2.18","318,054","329,252","          0.97"
"전라북도 전주시 완산구 (4511100000)","330,631","153,862","          2.15","160,769","169,862","          0.95"
"전라북도 전주시 덕진구 (4511300000)","316,675","142,558","          2.22","157,285","159,390","          0.99"
"전라북도 전주시효자출장소 (4511800000)","0","0","          0.00","0","0","          0.00"
"전라북도 군산시 (4513000000)","261,385","123,571","          2.12","132,396","128,989","          1.03"
"전라북도 익산시 (4514000000)","272,320","130,405","          2.09","135,610","136,710","          0.99"
"전라북도 익산시함열출장소 (4514500000)","0","0","          0.00","0","0","          0.00"
"전라북도 정읍시 (4518000000)","104,458","54,724","          1.91","51,986","52,472","          0.99"
"전라북도 남원시 (4519000000)","77,503","39,923","          1.94","37,994","39,509","          0.96"
"전라북도 김제시 (4521000000)","81,886","43,688","          1.87","40,756","41,130","          0.99"
"전라북도 완주군 (4571000000)","94,776","46,882","          2.02","48,740","46,036","          1.06"
"전라북도 진안군 (4572000000)","24,664","13,578","          1.82","12,584","12,080","          1.04"
"전라북도 무주군 (4573000000)","23,416","12,993","          1.80","11,714","11,702","          1.00"
"전라북도 장수군 (4574000000)","21,145","11,560","          1.83","10,627","10,518","          1.01"
"전라북도 임실군 (4575000000)","26,335","15,021","          1.75","13,512","12,823","          1.05"
"전라북도 순창군 (4577000000)","26,823","14,266","          1.88","13,169","13,654","          0.96"
"전라북도 고창군 (4579000000)","52,144","28,724","          1.82","25,945","26,199","          0.99"
"전라북도 부안군 (4580000000)","50,020","27,844","          1.80","24,879","25,141","          0.99"
"전라남도  (4600000000)","1,813,439","910,897","          1.99","913,624","899,815","          1.02"
"전라남도 목포시 (4611000000)","215,591","104,120","          2.07","107,182","108,409","          0.99"
"전라남도 여수시 (4613000000)","273,659","128,853","          2.12","139,340","134,319","          1.04"
"전라남도 순천시 (4615000000)","278,709","125,684","          2.22","139,084","139,625","          1.00"
"전라남도 나주시 (4617000000)","116,994","60,271","          1.94","59,072","57,922","          1.02"
"전라남도 광양시 (4623000000)","152,044","69,220","          2.20","79,483","72,561","          1.10"
"전라남도 담양군 (4671000000)","45,611","24,739","          1.84","23,064","22,547","          1.02"
"전라남도 곡성군 (4672000000)","27,066","15,591","          1.74","13,429","13,637","          0.98"
"전라남도 구례군 (4673000000)","24,480","13,414","          1.82","11,942","12,538","          0.95"
"전라남도 고흥군 (4677000000)","61,618","35,442","          1.74","30,045","31,573","          0.95"
"전라남도 보성군 (4678000000)","38,234","22,229","          1.72","18,759","19,475","          0.96"
"전라남도 화순군 (4679000000)","61,743","32,120","          1.92","30,521","31,222","          0.98"
"전라남도 장흥군 (4680000000)","35,419","19,781","          1.79","17,275","18,144","          0.95"
"전라남도 강진군 (4681000000)","32,984","18,564","          1.78","16,022","16,962","          0.94"
"전라남도 해남군 (4682000000)","65,414","35,087","          1.86","32,614","32,800","          0.99"
"전라남도 영암군 (4683000000)","52,592","28,685","          1.83","27,465","25,127","          1.09"
