학교구분,학교명,본분교,지역,주소,geometry
대학,강릉원주대학교,본교,강원,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교) ",[128.870004836608 37.7656949331429]
대학,강릉원주대학교,제2캠퍼스,강원,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스) ",[127.922180834517 37.3051998482115]
대학,강원대학교,본교,강원,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교) ",[127.748387408095 37.8680243076332]
대학,강원대학교,제2캠퍼스,강원,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스) ",[129.160054612759 37.4508028312358]
대학,경북대학교,본교,대구,"대구광역시 북구 대학로 80 (산격동, 경북대학교) ",[128.614322336303 35.8890974884948]
대학,경상국립대학교,본교,경남,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교) ",[128.098001405271 35.1567141271262]
대학,공주대학교,본교,충남,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교) ",[127.138669492909 36.466848433479]
대학,군산대학교,본교,전북,"전라북도 군산시 대학로 558 (미룡동, 군산대학교) ",[126.680356828107 35.9503457085054]
대학,금오공과대학교,본교,경북,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교) ",[128.388119702872 36.1456601455539]
대학,목포대학교,본교,전남,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교) ",[126.440210194715 34.9103065584639]
대학,목포해양대학교,본교,전남,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교) ",[126.366830400594 34.7917749223182]
대학,부경대학교,본교,부산,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스) ",[129.104865521163 35.1311752099157]
대학,부산대학교,본교,부산,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교) ",[129.08382445362 35.2322427971605]
대학,서울대학교,본교,서울,"서울특별시 관악구 관악로 1 (신림동, 서울대학교) ",[126.94815644252 37.4662872666604]
대학,순천대학교,본교,전남,"전라남도 순천시 중앙로 255 (석현동, 순천대학교) ",[127.480923056778 34.9667612819538]
대학,안동대학교,본교,경북,"경상북도 안동시 경동로 1375 (송천동, 안동대학교) ",[128.79756403132 36.5414384997503]
대학,전남대학교,본교,광주,"광주광역시 북구 용봉로 45 (용봉동, 전남대학교) ",[126.901101801289 35.1729465031535]
대학,전남대학교,제2캠퍼스,전남,"전라남도 여수시 대학로 50 (둔덕동, 전남대학교여수캠퍼스) ",[127.700518386399 34.7729957206494]
대학,전북대학교,본교,전북,"전라북도 전주시 덕진구 백제대로 567 (금암동, 전북대학교) ",[127.131588969832 35.8411382714422]
